#id name            texture-top     texture-bottom  texture-front   texture-back    texture-left    texture-right
#0   Air             None            None            None            None            None            None
1   Stone           Stone           Stone           Stone           Stone           Stone           Stone
2   Grass           GrassTop        Dirt            GrassDirtSide   GrassDirtSide   GrassDirtSide   GrassDirtSide
3   Dirt            Dirt            Dirt            Dirt            Dirt            Dirt            Dirt
4   Cobblestone     Cobblestone     Cobblestone     Cobblestone     Cobblestone     Cobblestone     Cobblestone
5   WoodenPlank     WoodenPlank     WoodenPlank     WoodenPlank     WoodenPlank     WoodenPlank     WoodenPlank
6   Sapling         Sapling         Sapling         Sapling         Sapling         Sapling         Sapling
7   Bedrock         Bedrock         Bedrock         Bedrock         Bedrock         Bedrock         Bedrock         
8   Water           Water1          Water1          Water1          Water1          Water1          Water1
9   StationaryWater Water2          Water2          Water2          Water2          Water2          Water2
10  Lava            Lava1           Lava1           Lava1           Lava1           Lava1           Lava1
11  StationaryLava  Lava2           Lava2           Lava2           Lava2           Lava2           Lava2
12  Sand            Sand            Sand            Sand            Sand            Sand            Sand
13  Gravel          Gravel          Gravel          Gravel          Gravel          Gravel          Gravel
14  GoldOre         GoldOre         GoldOre         GoldOre         GoldOre         GoldOre         GoldOre
15  IronOre         IronOre         IronOre         IronOre         IronOre         IronOre         IronOre
16  CoalOre         CoalOre         CoalOre         CoalOre         CoalOre         CoalOre         CoalOre
17  Wood            WoodTop         WoodTop         WoodSide        WoodSide        WoodSide        WoodSide
18  Leaves          LeavesRegular   LeavesRegular   LeavesRegular   LeavesRegular   LeavesRegular   LeavesRegular   
19  Sponge          Sponge          Sponge          Sponge          Sponge          Sponge          Sponge
20  Glass           Glass           Glass           Glass           Glass           Glass           Glass
21  LapisLazuliOre  LapisLazuliOre  LapisLazuliOre  LapisLazuliOre  LapisLazuliOre  LapisLazuliOre  LapisLazuliOre 
22  LapisLazuliBlock LapisLazuliBlock LapisLazuliBlock LapisLazuliBlock LapisLazuliBlock LapisLazuliBlock LapisLazuliBlock
23  Dispenser       FurnaceTop      FurnaceTop      DispenserFront  FurnaceBack     FurnaceBack     FurnaceBack
24  Sandstone       SandstoneTop    SandstoneBottom SandstoneSide   SandstoneSide   SandstoneSide   SandstoneSide
25  NoteBlock       NoteBlock       NoteBlock       NoteBlock       NoteBlock       NoteBlock       NoteBlock

35  Wool            Wool            Wool            Wool            Wool            Wool            Wool

37  YellowFlower    YellowFlower    YellowFlower    YellowFlower    YellowFlower    YellowFlower    YellowFlower
38  RedRose         RedRose         RedRose         RedRose         RedRose         RedRose         RedRose
39  BrownMushroom   BrownMushroom   BrownMushroom   BrownMushroom   BrownMushroom   BrownMushroom   BrownMushroom
40  RedMushroom     RedMushroom     RedMushroom     RedMushroom     RedMushroom     RedMushroom     RedMushroom
41  GoldBlock       GoldBlock       GoldBlock       GoldBlock       GoldBlock       GoldBlock       GoldBlock
42  IronBlock       IronBlock       IronBlock       IronBlock       IronBlock       IronBlock       IronBlock
